Matched nick	Level	Country	Is Payer	Duplicate?
Astermaster	102	IT	Yes	
Kedadd	39		Yes	
Perfect_dutchy	110	NL	Yes	
king-Gc93	80	FR	No	
UCHIHA_BAYU	100	ID	Yes	
Babrnoch	69	CZ	No	
tribute17	102	US	Yes	
Nankrepal	101	MY	Yes	
Fibalipasos6	70	PL	Yes	
dogofisherman-4	36	SI	No	
tibcsi82	110	HU	Yes	
Walshyy90	110	IE	Yes	
				
Twillie	17	US	No	
RmFik	110	IS	Yes	
alepez	108	AR	Yes	
PestisDoktor	91	HU	Yes	
				
ORimvis_560	103	GB	Yes	
highgamer3421	51	EE	Yes	
Jo_SWEDEN17	86	SE	Yes	
				
TravisT	110	US	Yes	
MrDB78	109	IT	Yes	
Darth Imperatus	110	US	Yes	
Dark88c7	104	IT	Yes	
Zoedachi	85	VN	No	
Errenn	90	ID	Yes	
damocv	58	GB	Yes	
finn030.12	95	DE	Yes	
Hizzy1	72	MY	Yes	
AnglerApaYa	94	ID	No	
hawke7	107	MY	Yes	
xCharkey35	35	CA	No	
timetopopo	70	SG	Yes	
Baked_bean1123	84	US	Yes	
MR BARD1944	110	BR	Yes	
Pablo2137222	81	PL	Yes	
				
RogueRider	101	BR	Yes	
Humbertinho_game	53	BR	Yes	
				
SkinnyWhitePimp	85	CA	Yes	
DaddyApache	110	US	Yes	
DaenerysTargaryen-VII	100	ID	Yes	
A00_Vince	101	IT	Yes	
Sylphynford14	73	ID	Yes	
Prodank	83	RO	Yes	
captcraze	75	US	Yes	
RexCarver	41	US	Yes	
Misacek0	55	CZ	Yes	
Salric-26	109	CO	Yes	
wartuner	2		No	
Annreii	105	JP	Yes	
Milek329	34	PL	Yes	
csabi10	110	HU	Yes	
DESTROY_62120	109	FR	Yes	
Togishere	50	US	Yes	
				
ballinxaz	49	US	Yes	
JAugusto77	106	BR	Yes	
ellgringo1983	110	LU	Yes	
just1humu	61	US	Yes	
Teamankung	32	TH	No	
Edgewater-1970	110	US	Yes	
ruato	110	FI	Yes	
TheMarce33	110	CA	Yes	
eKO_o	105	ES	Yes	
				DUPLICATE
SELVA87	92	IT	Yes	
tiagocorradini	110	BR	Yes	
Eanruig	99	GB	Yes	
LullaCry	73	GT	No	
				
Flow2me	97	NL	Yes	
Im4eRePaSHKa	69		No	
CosmicSledge	106	ZA	Yes	
Lucapicc	26	IT	No	
James-VX9-	92	US	Yes	
Dafesa	88	CR	Yes	
oempie	96	US	Yes	
blackmambasnakekill	83	US	Yes	
Slayz7	25	FR	No	
MIKEFOGLESTINE	109	US	Yes	
				
Marius	3		No	
MinaKiMiko1	97	TH	Yes	
trout2king	110	AU	Yes	
Javiersann16	70	MX	No	
WhiteTrout007	100	TH	No	
PH_XyRyX	97	BE	Yes	
Aztrology	41	ID	Yes	
Gzeuce	43	FR	Yes	
YIYO824C	110	ES	Yes	
Slick_Shot_21	82	GB	Yes	
				
Eryka	94	HU	Yes	
				
Zlayer95	7	US	No	
Cycopious	89	US	Yes	
Veey4	93	AR	Yes	
CGHoopes	83	US	Yes	
Ash-themaster14	78	US	No	
				
mejilloncito	107	FR	Yes	
LIBRAx1517	50	US	Yes	
				
				
Elijah32	96	US	No	
PelagicChaser	80	US	Yes	
Siilent_Ways	89	US	Yes	
telatnayir66	95	TR	Yes	
TPBCrazyCar	100	US	Yes	
DaenerysTargaryen-VII	100	ID	Yes	DUPLICATE
billy_herrington69	59	UA	Yes	
				
General_Soul970	93	DE	Yes	
b2c41	80	FR	Yes	
badassredck	100	US	Yes	
X-Series_Rodrigo	104	PT	Yes	
gordo2859	38	CA	Yes	
VanFisherman1337	58	UA	Yes	
Prof.Snape	108	CA	Yes	
ValentinNed	89	DE	Yes	
NickGreken	94	SE	No	
ezrayk	40	US	No	
Delboy7676	104	GB	Yes	
DawnShrek	42	PT	Yes	
				
				
TuanDuySeafood	99	VN	Yes	
Gamerzetrue	47	UY	Yes	
krozhin	91	SE	Yes	
PHemiT	105	IT	Yes	
Jack1314	106	GB	Yes	
				
stancelad	28	NZ	No	
legbo_d	100	UA	Yes	
				
VileVicky	70		Yes	
SeriousFaceOP	43	US	Yes	
KiKuni	53	PL	Yes	
Siennasteak135	18	SE	Yes	
mitiks_22	52	PL	Yes	
Greycrescent	48		Yes	
JustTheDude	58	US	Yes	
				
VikingFisher86	89	TG	Yes	
JanHansen	105	DK	Yes	
Beanzy	110	GB	Yes	
xLyrusx	69	EC	Yes	
Mpikefishing	54	PL	Yes	
ALEGRETTE	107	BR	Yes	
				
rcmm	108	PT	Yes	
AlienDoge698407	68	GB	Yes	
dziadekG70	110	PL	Yes	
PTSDSoldier77	108	US	Yes	
Aqua_Spirit	109	UA	Yes	
BowlerGaming948	106	US	Yes	
arenken_27	54	US	Yes	
				
Elisa82a	33	ID	No	
				
peppiazzopardi	27	MT	No	
IDONTWIN1924	98	GB	Yes	
Blaze	3		No	
Adiwern1982	94	DE	Yes	
Lutya	29	RU	No	
MendedManatee07	100	US	Yes	
Diegosouza99950	53	BR	Yes	
ya-mame	101		No	
Pecorino	60	ID	No	
				
Dux	2		No	
				
Panteralandia	57	US	Yes	
Krol_An	88	PL	Yes	
COCA1N3	75	PL	Yes	
LizardATwar	110		Yes	
TS_Cruiser	110	JP	Yes	
Madbotanyferret	99	US	Yes	
La_Sudiste_du_1.618	78	FR	Yes	
SalmonHammond420	62	US	Yes	
DarthAwesome	101	SE	Yes	
				
PirateFishing	85	FR	Yes	
rontti56	110	FI	Yes	
KPAZ05	102	HN	Yes	
Vojelly	110	US	Yes	
				
				
GUANAJUATO.MEXICO	76	MX	Yes	
BallisticBow123	102	US	Yes	
MRS	3		No	
pencopet_professional	39	ID	Yes	
xray849	60	ZA	No	
				
bolognatortoise	99	US	Yes	
smiler1954	108	GB	Yes	
				
AS_Wilqs	110	PL	Yes	
KingOfIce	91	FR	Yes	
