t0	t1	slot	cyc	sec	end	species	fishId	kg	len	stamina	exp	expOf	dist	rodLen	fric	reelDur	boatSpeed	nan	tireWarn	putOnStand	moves	fastReeling	finishMove
2026-09-03T18:46:56.467Z	2026-09-03T18:47:03.857Z	2	2	7.4	caught	EuropeanSeaSturgeonU	5311	273.98	4.055	0.9996409	113738	50599	29.2	1.7	7	65494	0.012	0	0	0	525	3	1
2026-09-03T18:53:27.482Z	2026-09-03T18:53:37.369Z	1	4	9.9	caught	AtlanticHalibutY	5270	28.585	1.365	0.9996462	1587	2100	23.5	1.6	11	59526	0.015	0	0	0	181		1
2026-09-03T18:54:03.521Z	2026-09-03T18:54:10.333Z	2	4	6.8	caught	MeagreT	5300	50.133	1.872	0.9959659	12573	8382	29.5	1.7	7	65310	0.003	0	0	0	339	34	1
2026-09-03T18:55:02.658Z	2026-09-03T18:55:09.519Z	1	5	6.9	caught	AtlanticHalibutT	5272	134.249	2.125	1	36444	17997	33.4	1.6	11	59492	0.010	0	0	0	474	40	1
2026-09-03T18:57:13.833Z	2026-09-03T18:57:19.020Z	2	6	5.2	caught	AtlanticHalibutY	5270	26.893	1.322	0.995217	1640	1976	30.7	1.7	7	65276	0.020	0	0	0	220		1
2026-09-03T19:15:08.189Z	2026-09-03T19:15:15.237Z	2	1	7.0	caught	GreenlandSharkY	5280	152.242	2.372	0.9963526	14622	6915	303.9	1.7	7	65256	0.042	0	0	0	966	44	1
2026-09-04T16:45:10.945Z	2026-09-04T16:45:18.289Z	1	1	7.3	caught	EuropeanSeaSturgeon	5309	120.567	2.735	0.9980515	17382	9086	27.3	1.6	11	59432	0.014	0	0	0	1752	2	1
2026-09-04T16:50:57.475Z	2026-09-04T16:51:04.239Z	1	2	6.8	caught	EuropeanSeaSturgeonY	5308	47.560	2.039	0.9947022	4380	2920	31.8	1.6	11	59412	0.016	0	0	0	204	38	1
2026-09-04T17:00:27.760Z	2026-09-04T17:00:38.150Z	1	1	10.4	cycle_finished								31.6	1.6	11	59382	0.022	0	0	0	1805		1
2026-09-04T17:13:31.020Z	2026-09-04T17:13:37.741Z	1	2	6.7	caught	EuropeanSeaSturgeon	5309	122.516	2.753	0.9995249	17831	9233	36.1	1.6	11	59362	0.006	0	0	0	204	1	1
2026-09-05T13:01:40.822Z	2026-09-05T13:01:48.256Z	1	4	7.4	caught	EuropeanSeaSturgeon	5309	125.065	2.776	0.9970657	19413	9425	24.7	1.7	7	63757	0.013	0	0	0	133	114	1
2026-09-05T13:12:39.204Z	2026-09-05T13:12:46.077Z	1	8	6.9	caught	AtlanticHalibutT	5272	152.552	2.235	0.9978609	44748	20450	30.6	1.7	7	63701	0.016	0	0	0	516	1	1
2026-09-05T13:16:55.833Z	2026-09-05T13:17:01.082Z	1	12	5.2	caught	AtlanticHalibutY	5270	19.167	1.129	0.9855208	1058	1408	31.4	1.7	7	63645	0.011	0	0	0	115	3	1
2026-09-05T14:38:15.486Z	2026-09-05T14:38:22.486Z	1	1	7.0	caught	GreenlandSharkY	5280	165.605	2.506	0.9991522	16296	7522	320.7	1.7	7	63611	0.099	0	0	0			1
2026-09-05T14:45:28.598Z	2026-09-05T14:45:33.552Z	2	2	5.0	caught	GreenlandShark	5281	325.255	3.529	0.997306	33986	15183	321.1	1.6	11	59130	0.080	0	0	0	1830		1
2026-09-05T14:47:26.982Z	2026-09-05T14:47:32.310Z	2	3	5.3	caught	EuropeanSeaSturgeonY	5308	32.499	1.662	0.9890858	1497	1995	25.3	1.6	11	55601	0.020	0	0	0	990		1
2026-09-05T16:22:35.616Z	2026-09-05T16:53:18.343Z	2	1	1842.7	cycle_finished								34.6	1.7	7	59142	0.023	0	0	1	271	1	1
2026-09-05T16:53:57.683Z	2026-09-05T16:54:02.871Z	1	1	5.2	caught	EuropeanSeaSturgeonY	5308	32.702	1.668	0.9865706	1508	2008	28.6	1.6	11	52563	0.008	0	0	0	512		1
2026-09-05T16:55:01.821Z	2026-09-05T16:55:09.415Z	2	2	7.6	caught	EuropeanSeaSturgeon	5309	114.270	2.678	0.9996317	17000	8612	43.0	1.7	7	59104	0.018	0	0	0	381	1	1
2026-09-05T16:55:16.899Z	2026-09-05T16:55:29.290Z	3	1	12.4	caught	EuropeanSeaSturgeon	5309	96.862	2.522	1	1073751659	6571	NaN	3.1	7	35814	0.020	1	0	0
2026-09-05T17:00:10.630Z	2026-09-05T17:00:15.849Z	3	1	5.2	caught	EuropeanSeaSturgeonT	5310	230.170	3.841	1	54638	24283	35.4	3.1	7	35750	0.040	0	0	0	391	7	1
2026-09-05T17:01:11.114Z	2026-09-05T17:01:20.163Z	2	1	9.0	caught	EuropeanSeaSturgeonY	5308	47.538	2.038	0.9913932	4377	2918	18.7	1.7	7	59075	0.006	0	0	0	1827		1
2026-09-05T17:04:35.916Z	2026-09-05T17:04:41.135Z	3	2	5.2	caught	AtlanticCod	5249	13.761	1.194	0.9836221	2252	1501	38.1	3.1	7	35670	0.019	0	1	0	1148	1	1
2026-09-05T17:05:56.793Z	2026-09-05T17:06:02.809Z	1	1	6.0	caught	Meagre	5299	18.116	1.220	0.9891336	1436	1912	35.4	1.6	11	52527	0.006	0	0	0	324	8	1
2026-09-05T17:08:19.735Z	2026-09-05T17:08:33.110Z	3	3	13.4	caught	SpinyDogfishT	5285	6.276	1.182	1	1437	1914	NaN	3.1	7	31310	0.026	1	0	0	156		1
2026-09-05T17:29:35.473Z	2026-09-05T17:29:40.696Z	2	1	5.2	caught	EuropeanSeaSturgeonT	5310	203.440	3.628	1	48293	21463	34.0	3.1	7	35711	0.008	0	0	0	9	3	1
2026-09-05T17:35:14.707Z	2026-09-05T17:35:20.035Z	1	2	5.3	caught	EuropeanSeaSturgeonY	5308	34.746	1.719	0.9968665	3930	1920	33.6	3.1	7	35075	0.007	0	0	0	1141		1
2026-09-05T17:54:22.160Z	2026-09-05T17:55:10.056Z	2	1	47.9	caught	EuropeanSeaSturgeonY	5308	49.399	2.085	0.9553115	4098	3032	30.4	1.8	11	49998	0.008	0	1	1	8	4	1
2026-09-05T17:53:44.971Z	2026-09-05T17:55:57.316Z	1	1	132.3	cycle_finished								34.0	1.8	11	49999	0.007	0	2	2	338	34	1
2026-09-05T18:05:33.394Z	2026-09-05T18:07:01.943Z	2	4	88.5	caught	GreenlandShark	5281	221.033	3.039	0.8813169	23085	10318	22.5	1.8	11	49917	0.064	0	0	2	614		1
2026-09-05T18:03:21.644Z	2026-09-05T18:07:45.925Z	1	2	264.3	cycle_finished								303.4	1.8	11	49792	0.046	0	1	3	776	148	1
2026-09-05T18:11:34.806Z	2026-09-05T18:11:41.946Z	1	3	7.1	caught	GreenlandSharkY	5280	173.685	2.587	0.9914762	18647	7889	307.1	1.8	11	49318	0.117	0	0	0	5		1
2026-09-05T18:12:26.078Z	2026-09-05T18:13:42.876Z	2	5	76.8	caught	GreenlandSharkY	5280	173.237	2.582	0.9994457	18579	7869	170.1	1.8	11	49678	0.063	0	0	0	192		1
