n_g,n_s,n_b,promoted,KS_gold,KS_silver,KS_bronze,KS_max,KS_mean
1,7,13,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,7,14,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,7,15,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,8,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,8,3,2446,0.3861962821512347,0.5787387413083851,0.5600793477820993,0.5787387413083851,0.5083381237472397
1,8,4,2431,0.38591122739549555,0.5799073817199671,0.5656618802993632,0.5799073817199671,0.5104934964716086
1,8,5,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,8,6,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,8,7,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,8,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,9,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,10,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,11,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,12,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,13,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,14,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,8,15,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,9,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,9,3,2446,0.3861962821512347,0.5787387413083851,0.5600793477820993,0.5787387413083851,0.5083381237472397
1,9,4,2431,0.38591122739549555,0.5799073817199671,0.5656618802993632,0.5799073817199671,0.5104934964716086
1,9,5,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,9,6,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,9,7,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,8,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,9,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,10,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,11,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,12,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,13,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,14,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,9,15,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,10,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,10,3,2446,0.3861962821512347,0.5787387413083851,0.5600793477820993,0.5787387413083851,0.5083381237472397
1,10,4,2431,0.38591122739549555,0.5799073817199671,0.5656618802993632,0.5799073817199671,0.5104934964716086
1,10,5,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,10,6,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,10,7,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,8,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,9,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,10,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,11,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,12,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,13,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,14,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,10,15,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,11,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,11,3,2446,0.3861962821512347,0.5787387413083851,0.5600793477820993,0.5787387413083851,0.5083381237472397
1,11,4,2431,0.38591122739549555,0.5799073817199671,0.5656618802993632,0.5799073817199671,0.5104934964716086
1,11,5,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,11,6,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,11,7,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,8,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,9,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,10,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,11,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,12,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,13,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,14,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,11,15,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,12,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,12,3,2446,0.3861962821512347,0.5787387413083851,0.5600793477820993,0.5787387413083851,0.5083381237472397
1,12,4,2431,0.38591122739549555,0.5799073817199671,0.5656618802993632,0.5799073817199671,0.5104934964716086
1,12,5,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,12,6,2429,0.3858729540905669,0.5802564139388078,0.5664114274127008,0.5802564139388078,0.5108469318140251
1,12,7,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,8,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,9,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,10,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,11,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,12,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,13,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,14,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
1,12,15,2428,0.3858537937931448,0.5806370764849367,0.5667866640338959,0.5806370764849367,0.5110925114373258
2,1,1,7839,0.5974766151354143,0.42838171990376084,0.4236246465941017,0.5974766151354143,0.48316099387775885
2,1,2,3811,0.5821199366864303,0.40680875527906457,0.5330592937276162,0.5821199366864303,0.5073293285643703
2,1,3,3686,0.580842684741472,0.4053849987915402,0.5628247027949231,0.580842684741472,0.5163507954426452
2,1,4,3674,0.5809092905423501,0.40524322147703296,0.5657887347763408,0.5809092905423501,0.517313748931908
2,1,5,3673,0.5808921725865925,0.40523136488430056,0.566036611668153,0.5808921725865925,0.517386716379682
2,1,6,3673,0.5808921725865925,0.40523136488430056,0.566036611668153,0.5808921725865925,0.517386716379682
2,1,7,3673,0.5808921725865925,0.40523136488430056,0.566036611668153,0.5808921725865925,0.517386716379682
2,1,8,3673,0.5808921725865925,0.40523136488430056,0.566036611668153,0.5808921725865925,0.517386716379682
