n_g,n_s,n_b,promoted,TP,precision_LB,recall,F1
14,11,13,328,30,0.09146341463414634,0.35294117647058826,0.14527845036319612
14,11,14,310,30,0.0967741935483871,0.35294117647058826,0.1518987341772152
14,11,15,298,30,0.10067114093959731,0.35294117647058826,0.15665796344647517
14,11,16,294,29,0.09863945578231292,0.3411764705882353,0.15303430079155672
14,11,17,292,29,0.09931506849315068,0.3411764705882353,0.15384615384615385
14,11,18,290,29,0.1,0.3411764705882353,0.15466666666666667
14,11,19,288,29,0.10069444444444445,0.3411764705882353,0.15549597855227884
14,11,20,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,21,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,22,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,23,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,24,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,25,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,26,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,27,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,28,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,29,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,11,30,286,29,0.10139860139860139,0.3411764705882353,0.1563342318059299
14,12,3,2329,65,0.027908973808501502,0.7647058823529411,0.05385252692626346
14,12,4,1557,59,0.03789338471419396,0.6941176470588235,0.07186358099878197
14,12,5,1136,55,0.04841549295774648,0.6470588235294118,0.09009009009009009
14,12,6,854,49,0.05737704918032787,0.5764705882352941,0.10436634717784879
14,12,7,674,47,0.06973293768545995,0.5529411764705883,0.1238471673254282
14,12,8,545,44,0.08073394495412844,0.5176470588235295,0.13968253968253969
14,12,9,453,41,0.09050772626931568,0.4823529411764706,0.15241635687732344
14,12,10,395,35,0.08860759493670886,0.4117647058823529,0.14583333333333334
14,12,11,356,30,0.08426966292134831,0.35294117647058826,0.1360544217687075
14,12,12,332,30,0.09036144578313253,0.35294117647058826,0.14388489208633093
14,12,13,310,29,0.0935483870967742,0.3411764705882353,0.1468354430379747
14,12,14,291,29,0.09965635738831616,0.3411764705882353,0.1542553191489362
14,12,15,278,28,0.10071942446043165,0.32941176470588235,0.15426997245179064
14,12,16,271,27,0.0996309963099631,0.3176470588235294,0.15168539325842695
14,12,17,268,27,0.10074626865671642,0.3176470588235294,0.1529745042492918
14,12,18,266,27,0.10150375939849623,0.3176470588235294,0.15384615384615385
14,12,19,264,27,0.10227272727272728,0.3176470588235294,0.15472779369627507
14,12,20,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,21,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,22,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,23,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,24,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,25,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,26,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,27,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,28,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,29,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,12,30,262,27,0.10305343511450382,0.3176470588235294,0.15561959654178675
14,13,3,2328,65,0.027920962199312716,0.7647058823529411,0.05387484459179445
14,13,4,1554,59,0.03796653796653797,0.6941176470588235,0.07199511897498476
14,13,5,1131,55,0.04862953138815208,0.6470588235294118,0.09046052631578948
14,13,6,848,49,0.05778301886792453,0.5764705882352941,0.10503751339764202
14,13,7,663,47,0.07088989441930618,0.5529411764705883,0.12566844919786097
14,13,8,532,44,0.08270676691729323,0.5176470588235295,0.14262560777957858
14,13,9,438,41,0.09360730593607305,0.4823529411764706,0.15678776290630975
14,13,10,379,35,0.09234828496042216,0.4117647058823529,0.15086206896551724
14,13,11,337,30,0.08902077151335312,0.35294117647058826,0.14218009478672985
14,13,12,312,30,0.09615384615384616,0.35294117647058826,0.15113350125944586
14,13,13,290,29,0.1,0.3411764705882353,0.15466666666666667
14,13,14,271,29,0.1070110701107011,0.3411764705882353,0.16292134831460675
14,13,15,256,28,0.109375,0.32941176470588235,0.16422287390029325
14,13,16,249,27,0.10843373493975904,0.3176470588235294,0.16167664670658682
14,13,17,245,27,0.11020408163265306,0.3176470588235294,0.16363636363636364
14,13,18,243,27,0.1111111111111111,0.3176470588235294,0.1646341463414634
