n_g,n_s,n_b,promoted,TP,precision_LB,recall,F1
1,5,6,2431,58,0.02385849444672974,0.7341772151898734,0.04621513944223108
1,5,7,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,8,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,9,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,10,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,11,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,12,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,13,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,14,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,5,15,2430,57,0.02345679012345679,0.7215189873417721,0.045436428856117976
1,6,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,6,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,6,3,2446,58,0.023712183156173343,0.7341772151898734,0.04594059405940595
1,6,4,2431,57,0.023447141094199916,0.7215189873417721,0.04541832669322709
1,6,5,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,6,6,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,6,7,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,8,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,9,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,10,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,11,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,12,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,13,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,14,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,6,15,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,7,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,7,3,2446,58,0.023712183156173343,0.7341772151898734,0.04594059405940595
1,7,4,2431,57,0.023447141094199916,0.7215189873417721,0.04541832669322709
1,7,5,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,7,6,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,7,7,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,8,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,9,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,10,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,11,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,12,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,13,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,14,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,7,15,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,8,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,8,3,2446,58,0.023712183156173343,0.7341772151898734,0.04594059405940595
1,8,4,2431,57,0.023447141094199916,0.7215189873417721,0.04541832669322709
1,8,5,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,8,6,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,8,7,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,8,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,9,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,10,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,11,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,12,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,13,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,14,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,8,15,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,9,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,9,3,2446,58,0.023712183156173343,0.7341772151898734,0.04594059405940595
1,9,4,2431,57,0.023447141094199916,0.7215189873417721,0.04541832669322709
1,9,5,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,9,6,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,9,7,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,8,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,9,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,10,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,11,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,12,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,13,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,14,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,9,15,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,10,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,10,3,2446,58,0.023712183156173343,0.7341772151898734,0.04594059405940595
1,10,4,2431,57,0.023447141094199916,0.7215189873417721,0.04541832669322709
1,10,5,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,10,6,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,10,7,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,8,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,9,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,10,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,11,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,12,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,13,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,14,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,10,15,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,11,1,6707,68,0.010138661100342925,0.8607594936708861,0.020041261420571766
1,11,2,2589,61,0.023561220548474315,0.7721518987341772,0.04572713643178411
1,11,3,2446,58,0.023712183156173343,0.7341772151898734,0.04594059405940595
1,11,4,2431,57,0.023447141094199916,0.7215189873417721,0.04541832669322709
1,11,5,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,11,6,2429,56,0.023054755043227664,0.7088607594936709,0.04465709728867624
1,11,7,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,11,8,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,11,9,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,11,10,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,11,11,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,11,12,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
1,11,13,2428,55,0.022652388797364087,0.6962025316455697,0.043877143996808934
